epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,1386.91,0.40633,0.49098,0.93443,0.98645,1,0.995,0.95109,0.44977,0.57586,0.76352,0.00166538,0.00166538,0.00166538
171,1393.68,0.42369,0.44828,0.90912,0.98645,1,0.995,0.95109,0.44977,0.57586,0.76352,0.0016634,0.0016634,0.0016634
172,1400.49,0.38214,0.46549,0.90296,0.9866,1,0.995,0.92909,0.53987,0.57797,0.78828,0.00166142,0.00166142,0.00166142
173,1407.46,0.47408,0.47898,0.938,0.9866,1,0.995,0.92909,0.53987,0.57797,0.78828,0.00165944,0.00165944,0.00165944
174,1414.28,0.37407,0.42705,0.90742,0.9866,1,0.995,0.92909,0.53987,0.57797,0.78828,0.00165746,0.00165746,0.00165746
175,1421.08,0.40895,0.47462,0.92576,0.98614,1,0.995,0.95109,0.42962,0.55383,0.73775,0.00165548,0.00165548,0.00165548
176,1427.85,0.40371,0.44427,0.93261,0.98614,1,0.995,0.95109,0.42962,0.55383,0.73775,0.0016535,0.0016535,0.0016535
177,1434.67,0.4266,0.46714,0.93276,0.98558,1,0.995,0.95109,0.30207,0.5192,0.69782,0.00165152,0.00165152,0.00165152
178,1441.57,0.42874,0.40787,0.87182,0.98558,1,0.995,0.95109,0.30207,0.5192,0.69782,0.00164954,0.00164954,0.00164954
179,1448.28,0.41345,0.41924,0.86505,0.98558,1,0.995,0.95109,0.30207,0.5192,0.69782,0.00164756,0.00164756,0.00164756
180,1455.14,0.35591,0.37286,0.88903,0.97978,1,0.995,0.995,0.39651,0.55548,0.7526,0.00164558,0.00164558,0.00164558
181,1461.96,0.37928,0.39776,0.94491,0.97978,1,0.995,0.995,0.39651,0.55548,0.7526,0.0016436,0.0016436,0.0016436
182,1468.84,0.50711,0.42301,0.97271,0.97978,1,0.995,0.995,0.39651,0.55548,0.7526,0.00164162,0.00164162,0.00164162
183,1475.83,0.40183,0.45198,0.92643,0.9825,1,0.995,0.90676,0.56245,0.68007,0.80981,0.00163964,0.00163964,0.00163964
184,1482.63,0.40263,0.45164,0.90693,0.9825,1,0.995,0.90676,0.56245,0.68007,0.80981,0.00163766,0.00163766,0.00163766
185,1489.45,0.42575,0.44598,0.84443,0.98539,1,0.995,0.92909,0.60376,0.60033,0.7848,0.00163568,0.00163568,0.00163568
186,1496.31,0.43799,0.41147,0.93157,0.98539,1,0.995,0.92909,0.60376,0.60033,0.7848,0.0016337,0.0016337,0.0016337
187,1503.07,0.45138,0.46458,0.89571,0.98539,1,0.995,0.92909,0.60376,0.60033,0.7848,0.00163172,0.00163172,0.00163172
